player_id,team_id,of_def_flag,"Right Side(R), 8-16 ft.","Right Side(R), 16-24 ft.","Right Side(R), 24+ ft.","Left Side(L), 8-16 ft.","Left Side(L), 16-24 ft.","Left Side(L), 24+ ft.","Center(C), Less Than 8 ft.","Center(C), 8-16 ft.","Center(C), 16-24 ft.","Center(C), 24+ ft.","Right Side Center(RC), 16-24 ft.","Right Side Center(RC), 24+ ft.","Left Side Center(LC), 16-24 ft.","Left Side Center(LC), 24+ ft."
Aaron Brooks,Chicago Bulls,def,2891.0,13288.0,2906.0,3569.0,4329.0,11535.0,2620.0,670.0,4782.0,3561.0,10352.0,1722.0,1178.0,4452.0
Aaron Brooks,Chicago Bulls,of,2465.0,12405.0,2240.0,2831.0,2972.0,7194.0,1559.0,277.0,3653.0,2848.0,8825.0,1528.0,881.0,3484.0
Aaron Gordon,Orlando Magic,def,6135.0,13286.0,7312.0,14290.0,5248.0,7003.0,4217.0,3108.0,11317.0,5124.0,6940.0,4839.0,3996.0,10543.0
Aaron Gordon,Orlando Magic,of,7176.0,15245.0,8029.0,15552.0,4924.0,7064.0,4080.0,3591.0,10906.0,5393.0,7198.0,4591.0,4076.0,11346.0
Adreian Payne,Minnesota Timberwolves,def,2904.0,6184.0,3170.0,5840.0,1757.0,1347.0,708.0,226.0,2532.0,1695.0,1091.0,711.0,158.0,2942.0
Adreian Payne,Minnesota Timberwolves,of,4253.0,9849.0,4329.0,8192.0,2665.0,2197.0,818.0,368.0,4421.0,2662.0,1790.0,785.0,288.0,4185.0
Al Horford,Atlanta Hawks,def,19429.0,34359.0,27455.0,35479.0,7523.0,4620.0,2011.0,969.0,15470.0,7800.0,4673.0,3431.0,1588.0,19334.0
Al Horford,Atlanta Hawks,of,18573.0,33009.0,26424.0,33694.0,7968.0,4562.0,2052.0,947.0,14732.0,7887.0,4919.0,3670.0,1727.0,18251.0
Al Jefferson,Charlotte Hornets,def,6379.0,11757.0,11754.0,13971.0,2173.0,1276.0,590.0,19.0,9091.0,2529.0,912.0,380.0,14.0,6083.0
Al Jefferson,Charlotte Hornets,of,5488.0,9988.0,10965.0,12324.0,1932.0,1156.0,475.0,7.0,9555.0,2109.0,866.0,316.0,17.0,5385.0
Al-Farouq Aminu,Portland Trail Blazers,def,10233.0,24270.0,11779.0,19907.0,10191.0,18841.0,5380.0,7889.0,15568.0,11197.0,16682.0,5158.0,7777.0,19177.0
Al-Farouq Aminu,Portland Trail Blazers,of,9868.0,22192.0,11761.0,20179.0,10346.0,18695.0,5156.0,7548.0,16857.0,9726.0,16671.0,4853.0,7025.0,17975.0
