,,,,count,count,count,count,count,count,count,count,count,count,count,count,count,count
court_location,,,,"Center(C), 16-24 ft.","Center(C), 24+ ft.","Center(C), 8-16 ft.","Center(C), Less Than 8 ft.","Left Side Center(LC), 16-24 ft.","Left Side Center(LC), 24+ ft.","Left Side(L), 16-24 ft.","Left Side(L), 24+ ft.","Left Side(L), 8-16 ft.","Right Side Center(RC), 16-24 ft.","Right Side Center(RC), 24+ ft.","Right Side(R), 16-24 ft.","Right Side(R), 24+ ft.","Right Side(R), 8-16 ft."
index,player_id,team_id,of_def_flag,,,,,,,,,,,,,,
0,Kyle Korver,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14592.0
1,Kyle Korver,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15093.0
2,Kyle Korver,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6447.0,0.0,0.0
3,Kyle Korver,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6215.0,0.0,0.0
4,Kyle Korver,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5383.0,0.0
5,Kyle Korver,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5203.0,0.0
6,Kyle Korver,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15093.0,0.0,0.0,0.0,0.0,0.0
7,Kyle Korver,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14681.0,0.0,0.0,0.0,0.0,0.0
8,Kyle Korver,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,6681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Kyle Korver,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,6794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Kyle Korver,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9452.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Kyle Korver,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8982.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Kyle Korver,Atlanta Hawks,def,0.0,0.0,0.0,14052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Kyle Korver,Atlanta Hawks,of,0.0,0.0,0.0,14661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Kyle Korver,Atlanta Hawks,def,0.0,0.0,6884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Kyle Korver,Atlanta Hawks,of,0.0,0.0,6736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Kyle Korver,Atlanta Hawks,def,6546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Kyle Korver,Atlanta Hawks,of,7195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Kyle Korver,Atlanta Hawks,def,0.0,18851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Kyle Korver,Atlanta Hawks,of,0.0,19555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Kyle Korver,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8744.0,0.0,0.0,0.0,0.0
21,Kyle Korver,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8796.0,0.0,0.0,0.0,0.0
22,Kyle Korver,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19831.0,0.0,0.0,0.0
23,Kyle Korver,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19102.0,0.0,0.0,0.0
24,Kyle Korver,Atlanta Hawks,def,0.0,0.0,0.0,0.0,8986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Kyle Korver,Atlanta Hawks,of,0.0,0.0,0.0,0.0,8050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Kyle Korver,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,28986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Kyle Korver,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,27718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Thabo Sefolosha,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10404.0
29,Thabo Sefolosha,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12093.0
30,Thabo Sefolosha,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4911.0,0.0,0.0
31,Thabo Sefolosha,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5179.0,0.0,0.0
32,Thabo Sefolosha,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5835.0,0.0
33,Thabo Sefolosha,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5349.0,0.0
34,Thabo Sefolosha,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8858.0,0.0,0.0,0.0,0.0,0.0
35,Thabo Sefolosha,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9619.0,0.0,0.0,0.0,0.0,0.0
36,Thabo Sefolosha,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,4339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Thabo Sefolosha,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,4540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Thabo Sefolosha,Atlanta Hawks,def,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5142.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Thabo Sefolosha,Atlanta Hawks,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5176.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Thabo Sefolosha,Atlanta Hawks,def,0.0,0.0,0.0,11013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Thabo Sefolosha,Atlanta Hawks,of,0.0,0.0,0.0,11105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Thabo Sefolosha,Atlanta Hawks,def,0.0,0.0,6167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
